Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('biológico', 'de')|2|1|285|331|0.0034965034965034965|0.0030120481927710845|0.006508551689274581|9.414973457772192|-0.9996313464737695|-0.006506152288743677|
('ventilar', 'con')|2|1|6|331|0.14285714285714285|0.0030120481927710845|0.14586919104991394|14.767489872492977|0.6291591757288059|0.09177494000519157|
('los', 'alteración', 'cognitivo')|3|1|1|331|0.5|0.0030120481927710845|0.5030120481927711|16.57484479455058|1.1791439565708393|0.5931236167088259|
campar|1|1|322|331|0.0030959752321981426|0.0030120481927710845|0.006108023424969227|9.239454439856654|-1.0530424321569218|-0.0064320078431010464|
('en', 'adulto')|2|1|2127|331|0.00046992481203007516|0.0030120481927710845|0.0034819730048011597|6.519562359049391|-1.8807156421724414|-0.0065486010957517184|
('preventivo', 'en')|2|1|273|331|0.0036496350364963502|0.0030120481927710845|0.006661683229267435|9.476812711590053|-0.9808134330449385|-0.006533868397955685|
('universitario', 'español')|2|1|3|331|0.25|0.0030120481927710845|0.25301204819277107|15.57484479455058|0.8748402616353163|0.2213451264378511|
('parir', 'lo', 'xvii')|3|1|3|331|0.25|0.0030120481927710845|0.25301204819277107|15.57484479455058|0.8748402616353163|0.2213451264378511|
('e', 'interfase', '.')|3|1|1|331|0.5|0.0030120481927710845|0.5030120481927711|16.57484479455058|1.1791439565708393|0.5931236167088259|
('en', 'el', 'usar')|3|1|189|331|0.005263157894736842|0.0030120481927710845|0.008275206087507926|10.004989186219632|-0.820087380237139|-0.0067863920812268|
se|1|3|1799|329|0.001664816870144284|0.009036144578313253|0.010700961448457537|6.759461498737042|-1.8077134475536358|-0.019344271912129722|
('los', 'medir')|2|1|141|331|0.007042253521126761|0.0030120481927710845|0.010054301713897845|10.425097675045897|-0.6922468148135273|-0.006960058336619972|
('riesgo', 'de', 'sufrir')|3|1|13|331|0.07142857142857142|0.0030120481927710845|0.0744406196213425|13.767489872492977|0.32485548079328247|0.024182443277641075|
('presión', 'facial', 'en')|3|1|2|331|0.3333333333333333|0.0030120481927710845|0.3363453815261044|15.989882293829424|1.001137706202668|0.3367280437529054|
('del', 'índice')|2|1|475|331|0.0021008403361344537|0.0030120481927710845|0.005112888528905539|8.680027031242636|-1.2232782596463725|-0.006254485381405469|
('que', 'deber', '?')|3|1|3|331|0.25|0.0030120481927710845|0.25301204819277107|15.57484479455058|0.8748402616353163|0.2213451264378511|
frecuentes|1|1|17|331|0.05555555555555555|0.0030120481927710845|0.05856760374832664|13.404919793108268|0.21452406596344967|0.012564160489827206|
('factorial', 'y')|2|1|30|331|0.03225806451612903|0.0030120481927710845|0.03527011270890012|12.620648484163706|-0.024132591180300207|-0.0008511592108869972|
ansiedad|1|1|523|331|0.0019083969465648854|0.0030120481927710845|0.00492044513933597|8.54142179301313|-1.2654563457770296|-0.006226608525620444|
('quirúrgico', 'del', 'hospital')|3|1|12|331|0.07692307692307693|0.0030120481927710845|0.07993512511584801|13.874405076409488|0.35739017238986176|0.02856802814515809|
('través', 'del', 'dispositivo')|3|2|8|330|0.2|0.006024096385542169|0.20602409638554217|14.252916699663219|0.47257265792201486|0.09736135482489704|
('frente', 'a', 'riesgo')|3|1|6|331|0.14285714285714285|0.0030120481927710845|0.14586919104991394|14.767489872492977|0.6291591757288059|0.09177494000519157|
('del', 'personal', 'de')|3|1|93|331|0.010638297872340425|0.0030120481927710845|0.01365034606511151|11.020255942872943|-0.5111379548423315|-0.006977209970611165|
plostía|1|1|10|331|0.09090909090909091|0.0030120481927710845|0.09392113910186199|14.115413175913282|0.4307298275782547|0.04045463605129829|
('periculosius', '.')|2|1|1|331|0.5|0.0030120481927710845|0.5030120481927711|16.57484479455058|1.1791439565708393|0.5931236167088259|
('aéreo', 'con')|2|1|18|331|0.05263157894736842|0.0030120481927710845|0.055643627140139505|13.326917281106995|0.19078761334720976|0.010616114820049243|
('y', 'usar', 'de')|3|1|186|331|0.0053475935828877|0.0030120481927710845|0.008359641775658785|10.027950334662943|-0.8131002179258763|-0.006797226549570417|
('clínico', '``', 'mascarilla')|3|1|2|331|0.3333333333333333|0.0030120481927710845|0.3363453815261044|15.989882293829424|1.001137706202668|0.3367280437529054|
