Término|Ngram|N(d,e)|N(d,e')|N(d',e)|P(e,d)|P(d,e)|SpecialtyWeight|Idf|Idf-norm|SpecialtyWeight*Idf-norm|
('cirugía', 'del', 'plexo')|3|2|14|1172|0.125|0.0017035775127768314|0.12670357751277683|13.57484479455058|0.07228811372248303|0.009159162620289056|
('este', 'emergencia', '?')|3|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
('inductivo', '.')|2|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('y', 'procedimiento', 'plástico')|3|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('los', 'colgajos')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('los', 'ulceración', 'producir')|3|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
dsermontaje|1|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('colgajo', 'dermograso', 'bipediculado')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('de', '34', 'caso')|3|2|88|1172|0.022222222222222223|0.0017035775127768314|0.023925799734999056|11.082991698220905|-0.8187229325143942|-0.019588600921790544|
('peyronie', 'con')|2|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
('lo', 'tomografía')|2|1|550|1173|0.0018148820326678765|0.0008517887563884157|0.002666670789056292|8.468936285979423|-1.7534298184111319|-0.004675820077417243|
('diagnóstico-terapéutico', '.')|2|1|22|1173|0.043478260869565216|0.0008517887563884157|0.04433004962595363|13.051282838493567|-0.11492175307235608|-0.005094487016799134|
('del', 'miembro', 'inferior')|3|1|46|1173|0.02127659574468085|0.0008517887563884157|0.022128384501069267|12.020255942872943|-0.4835856820649631|-0.01070096991194534|
limar|1|1|10|1173|0.09090909090909091|0.0008517887563884157|0.09176087966547933|14.115413175913282|0.26557896210756493|0.02436975918363516|
('elongación', 'de')|2|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('los', 'cicatrizar', 'o')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
('estudio', 'prospectivo')|2|6|1223|1168|0.004882017900732303|0.005110732538330494|0.009992750439062796|7.311575594177919|-2.1672668790285536|-0.021656957056978836|
('necesario', '.')|2|1|51|1173|0.019230769230769232|0.0008517887563884157|0.020082557987157648|11.874405076409488|-0.5357375257324619|-0.010758979926418529|
versus|1|4|1170|1170|0.0034071550255536627|0.0034071550255536627|0.0068143100511073255|7.3776281014405285|-2.1436485069466222|-0.01460748556692758|
('lo', 'evidenciar', '.')|3|1|188|1173|0.005291005291005291|0.0008517887563884157|0.006142794047393706|10.012602370329507|-1.2014616727435345|-0.007380331611500669|
('largar', 'plazo')|2|4|1375|1170|0.0029006526468455403|0.0034071550255536627|0.006307807672399203|7.1454380530365995|-2.2266726219150774|-0.014045422648437174|
('una', 'alternativo', 'al')|3|1|4|1173|0.2|0.0008517887563884157|0.20085178875638843|15.252916699663219|0.6723157020411594|0.13503581136397394|
(';', 'consideración', 'sobrar')|3|1|94|1173|0.010526315789473684|0.0008517887563884157|0.0113781045458621|11.004989186219632|-0.8466142636405064|-0.009632865601719741|
('necesidades', 'transfusional', 'en')|3|1|5|1173|0.16666666666666666|0.0008517887563884157|0.16751845542305507|14.989882293829424|0.5782625808987173|0.09686965438110255|
12|1|1|818|1173|0.001221001221001221|0.0008517887563884157|0.0020727899773896365|7.897125152909571|-1.9578921266735674|-0.004058299176979051|
('percutáneo', 'asistir')|2|1|1|1173|0.5|0.0008517887563884157|0.5008517887563884|16.57484479455058|1.1449970718259201|0.573473831544839|
('de', 'do', 'concentración')|3|1|8|1173|0.1111111111111111|0.0008517887563884157|0.11196289986749952|14.404919793108268|0.36909774267265966|0.041325253604179095|
('leve', 'en')|2|1|6|1173|0.14285714285714285|0.0008517887563884157|0.14370893161353127|14.767489872492977|0.4987418000380768|0.07167365123448147|
('lo', 'homohemoterapia')|2|1|2|1173|0.3333333333333333|0.0008517887563884157|0.33418512208972173|15.989882293829424|0.9358322335998632|0.3127412092410673|
('procedimiento', 'parir')|2|1|40|1173|0.024390243902439025|0.0008517887563884157|0.02524203265882744|12.217292789932497|-0.41313128509254965|-0.01042827339068949|
('y', 'epitelioma')|2|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
('septorrinoplastias', ',', 'uno')|3|1|3|1173|0.25|0.0008517887563884157|0.2508517887563884|15.57484479455058|0.7874274191247749|0.19752757660327616|
